"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Components (product.metafields.custom.components)","Shipping Info (product.metafields.custom.shipping_info)","expiration months (product.metafields.custom.expiration_months)","Catalog Number (product.metafields.custom.catalog_number)","Volume (product.metafields.custom.volume)","Unit/Packs (product.metafields.custom.unit_packs)","Storage Conditions (product.metafields.custom.storage_conditions)","Matrix (product.metafields.custom.matrix)","CAS Number (product.metafields.custom.cas_number)","DOT Hazardous (product.metafields.custom.dot_hazardous)","COA (product.metafields.custom.coa)","SDS (product.metafields.custom.sds)"
"usp-rs-c3b-2-organic-volatile-impurities-class-3-solvents-usp-467-pharmaceutical-residual-solvent-standards-in-dimethyl-sulfoxide-1-ml","2 Organic Volatile Impurities, Class 3 Solvents, USP 467 Pharmaceutical Residual Solvent Standards in Dimethyl Sulfoxide, 1 mL","Consumer Safety Standards
Pharmaceutical Residual Solvent Standards

In the pharmaceutical industry, the guidelines set by the International Conference on Harmonization (ICH), and by United States Pharmacopeia (USP) and European Pharmacopeia (EP), mandate that manufacturing solvents have to be regulated due to their toxic and/or environmentally hazardous nature.",,,,"TRUE","[{""component"":""Acetic acid"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""64-19-7""},{""component"":""Formic acid"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""64-18-6""}]","Freezer","12","USP-RS-C3B","1 mL","1","Freezer","Dimethyl Sulfoxide","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/USP-RS-C3B.pdf"
"usp-rs-c3a-r1-23-organic-volatile-impurities-mix-usp-467-pharmaceutical-residual-solvent-standards-in-dimethyl-sulfoxide-1-ml","23 Organic Volatile Impurities Mix, USP 467 Pharmaceutical Residual Solvent Standards in Dimethyl Sulfoxide, 1 mL","Consumer Safety Standards
Pharmaceutical Residual Solvent Standards

In the pharmaceutical industry, the guidelines set by the International Conference on Harmonization (ICH), and by United States Pharmacopeia (USP) and European Pharmacopeia (EP), mandate that manufacturing solvents have to be regulated due to their toxic and/or environmentally hazardous nature.",,,,"TRUE","[{""component"":""Acetone"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""67-64-1""},{""component"":""Anisole"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""100-66-3""},{""component"":""1-Butanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""71-36-3""},{""component"":""2-Butanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""78-92-2""},{""component"":""2-Butanone"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""78-93-3""},{""component"":""Butyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""123-86-4""},{""component"":""methyl tertiary-Butyl ether"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""1634-04-4""},{""component"":""Ethanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""64-17-5""},{""component"":""Ether"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""60-29-7""},{""component"":""Ethyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""141-78-6""},{""component"":""Ethyl formate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""109-94-4""},{""component"":""n-Heptane"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""142-82-5""},{""component"":""Isobutyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""110-19-0""},{""component"":""Isopropyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""108-21-4""},{""component"":""Methyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""79-20-9""},{""component"":""3-Methyl-1-butanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""123-51-3""},{""component"":""Methyl-2-pentanone"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""108-10-1""},{""component"":""2-Methyl-1-propanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""78-83-1""},{""component"":""n-Pentane"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""109-66-0""},{""component"":""1-Pentanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""71-41-0""},{""component"":""1-Propanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""71-23-8""},{""component"":""2-Propanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""67-63-0""},{""component"":""Propyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""109-60-4""}]","Freezer","3","USP-RS-C3A-R1","1 mL","1","Freezer","Dimethyl Sulfoxide","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/USP-RS-C3A-R1.pdf"
"usp-rs-c3a-24-organic-volatile-impurities-class-3-solvents-usp-467-pharmaceutical-residual-solvent-standards-in-dimethyl-sulfoxide-1-ml","24 Organic Volatile Impurities, Class 3 Solvents, USP 467 Pharmaceutical Residual Solvent Standards in Dimethyl Sulfoxide, 1 mL","Consumer Safety Standards
Pharmaceutical Residual Solvent Standards

In the pharmaceutical industry, the guidelines set by the International Conference on Harmonization (ICH), and by United States Pharmacopeia (USP) and European Pharmacopeia (EP), mandate that manufacturing solvents have to be regulated due to their toxic and/or environmentally hazardous nature.",,,,"TRUE","[{""component"":""Acetone"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""67-64-1""},{""component"":""Anisole"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""100-66-3""},{""component"":""1-Butanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""71-36-3""},{""component"":""2-Butanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""78-92-2""},{""component"":""2-Butanone"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""78-93-3""},{""component"":""Butyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""123-86-4""},{""component"":""methyl tertiary-Butyl ether"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""1634-04-4""},{""component"":""Ethanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""64-17-5""},{""component"":""Ether"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""60-29-7""},{""component"":""Ethyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""141-78-6""},{""component"":""Ethyl formate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""109-94-4""},{""component"":""n-Heptane"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""142-82-5""},{""component"":""Isobutyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""110-19-0""},{""component"":""Isopropyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""108-21-4""},{""component"":""Isopropylbenzene"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""98-82-8""},{""component"":""Methyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""79-20-9""},{""component"":""3-Methyl-1-butanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""123-51-3""},{""component"":""4-Methyl-2-pentanone"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""108-10-1""},{""component"":""2-Methyl-1-propanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""78-83-1""},{""component"":""n-Pentane"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""109-66-0""},{""component"":""1-Pentanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""71-41-0""},{""component"":""1-Propanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""71-23-8""},{""component"":""2-Propanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""67-63-0""},{""component"":""Propyl acetate"",""concentration"":""1,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""109-60-4""}]","Freezer","3","USP-RS-C3A","1 mL","1","Freezer","Dimethyl Sulfoxide","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/USP-RS-C3A.pdf"
"usp-rs-c2c-8-organic-volatile-impurities-class-2-solvents-usp-467-pharmaceutical-residual-solvent-standards-in-dimethyl-sulfoxide-1-ml","8 Organic Volatile Impurities, Class 2 Solvents, USP 467 Pharmaceutical Residual Solvent Standards in Dimethyl Sulfoxide, 1 mL","Consumer Safety Standards
Pharmaceutical Residual Solvent Standards

In the pharmaceutical industry, the guidelines set by the International Conference on Harmonization (ICH), and by United States Pharmacopeia (USP) and European Pharmacopeia (EP), mandate that manufacturing solvents have to be regulated due to their toxic and/or environmentally hazardous nature.",,,,"TRUE","[{""component"":""N,N-Dimethylacetamide"",""concentration"":""5,450 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""127-19-5""},{""component"":""N,N-Dimethylformamide"",""concentration"":""4,400 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""68-12-2""},{""component"":""2-Ethoxyethanol"",""concentration"":""800 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""110-80-5""},{""component"":""Ethylene glycol"",""concentration"":""3,100 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""107-21-1""},{""component"":""Formamide"",""concentration"":""1,100 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""75-12-7""},{""component"":""2-Methoxyethanol"",""concentration"":""250 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""109-86-4""},{""component"":""1-Methyl-2-pyrrolidinone"",""concentration"":""2,650 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""872-50-4""},{""component"":""Tetramethylene sulfone"",""concentration"":""800 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""126-33-0""}]","Freezer","24","USP-RS-C2C","1 mL","1","Freezer","Dimethyl Sulfoxide","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/USP-RS-C2C.pdf"
"usp-rs-c2b-8-organic-volatile-impurities-class-2-solvents-usp-467-pharmaceutical-residual-solvent-standards-in-dimethyl-sulfoxide-1-ml","8 Organic Volatile Impurities, Class 2 Solvents, USP 467 Pharmaceutical Residual Solvent Standards in Dimethyl Sulfoxide, 1 mL","Consumer Safety Standards
Pharmaceutical Residual Solvent Standards

In the pharmaceutical industry, the guidelines set by the International Conference on Harmonization (ICH), and by United States Pharmacopeia (USP) and European Pharmacopeia (EP), mandate that manufacturing solvents have to be regulated due to their toxic and/or environmentally hazardous nature.",,,,"TRUE","[{""component"":""Chloroform"",""concentration"":""60 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""67-66-3""},{""component"":""1,2-Dimethoxyethane"",""concentration"":""100 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""110-71-4""},{""component"":""n-Hexane"",""concentration"":""290 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""110-54-3""},{""component"":""2-Hexanone"",""concentration"":""50 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""591-78-6""},{""component"":""Nitromethane"",""concentration"":""50 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""75-52-5""},{""component"":""Pyridine"",""concentration"":""200 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""110-86-1""},{""component"":""1,2,3,4-Tetrahydronaphthalene"",""concentration"":""100 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""119-64-2""},{""component"":""Trichloroethene"",""concentration"":""80 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""79-01-6""}]","Freezer","12","USP-RS-C2B","1 mL","1","Freezer","Dimethyl Sulfoxide","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/USP-RS-C2B.pdf"
"usp-rs-c2a-15-organic-volatile-impurities-class-2-solvents-usp-467-pharmaceutical-residual-solvent-standards-in-dimethyl-sulfoxide-1-ml","15 Organic Volatile Impurities, Class 2 Solvents, USP 467 Pharmaceutical Residual Solvent Standards in Dimethyl Sulfoxide, 1 mL","Consumer Safety Standards
Pharmaceutical Residual Solvent Standards

In the pharmaceutical industry, the guidelines set by the International Conference on Harmonization (ICH), and by United States Pharmacopeia (USP) and European Pharmacopeia (EP), mandate that manufacturing solvents have to be regulated due to their toxic and/or environmentally hazardous nature.",,,,"TRUE","[{""component"":""Acetonitrile"",""concentration"":""2,050 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""75-05-8""},{""component"":""Chlorobenzene"",""concentration"":""1,800 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""108-90-7""},{""component"":""Cyclohexane"",""concentration"":""19,400 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""110-82-7""},{""component"":""cis-1,2-Dichloroethene"",""concentration"":""4,700 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""156-59-2""},{""component"":""trans-1,2-Dichloroethene"",""concentration"":""4,700 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""156-60-5""},{""component"":""1,4-Dioxane"",""concentration"":""1,900 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""123-91-1""},{""component"":""Ethylbenzene"",""concentration"":""1,840 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""100-41-4""},{""component"":""Methanol"",""concentration"":""15,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""67-56-1""},{""component"":""Methylcyclohexane"",""concentration"":""5,900 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""108-87-2""},{""component"":""Methylene chloride"",""concentration"":""3,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""75-09-2""},{""component"":""Tetrahydrofuran"",""concentration"":""3,450 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""109-99-9""},{""component"":""Toluene"",""concentration"":""4,450 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""108-88-3""},{""component"":""m-Xylene"",""concentration"":""6,510 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""108-38-3""},{""component"":""o-Xylene"",""concentration"":""980 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""95-47-6""},{""component"":""p-Xylene"",""concentration"":""1,520 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""106-42-3""}]","Freezer","12","USP-RS-C2A","1 mL","1","Freezer","Dimethyl Sulfoxide","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/USP-RS-C2A.pdf"
"usp-rs-c1-5-organic-volatile-impurities-class-1-solvents-usp-467-pharmaceutical-residual-solvent-standards-in-dimethyl-sulfoxide-1-ml","5 Organic Volatile Impurities, Class 1 Solvents, USP 467 Pharmaceutical Residual Solvent Standards in Dimethyl Sulfoxide, 1 mL","Consumer Safety Standards
Pharmaceutical Residual Solvent Standards

In the pharmaceutical industry, the guidelines set by the International Conference on Harmonization (ICH), and by United States Pharmacopeia (USP) and European Pharmacopeia (EP), mandate that manufacturing solvents have to be regulated due to their toxic and/or environmentally hazardous nature.",,,,"TRUE","[{""component"":""Benzene"",""concentration"":""10,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""71-43-2""},{""component"":""Carbon tetrachloride"",""concentration"":""20,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""56-23-5""},{""component"":""1,2-Dichloroethane"",""concentration"":""25,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""107-06-2""},{""component"":""1,1-Dichloroethene"",""concentration"":""40,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""75-35-4""},{""component"":""1,1,1-Trichloroethane"",""concentration"":""50,000 μg/mL"",""matrix"":""Dimethyl Sulfoxide"",""cas"":""71-55-6""}]","Freezer","18","USP-RS-C1","1 mL","1","Freezer","Dimethyl Sulfoxide","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/USP-RS-C1.pdf"
"tx-hc-18-state-of-tx-c6-through-c35-alkanes-1-000-g-ml-(1-000-ppm)-in-pentane-1-ml","State of TX C6 through C35 Alkanes, 1,000 μg/mL (1,000 ppm) in Pentane, 1 mL","Petroleum and LUST Standards

The EPA regulates the monitoring and testing of underground storage tanks (USTs), that were or are used to store petroleum or other hazardous substances, which could impact the environment and human health. Currently, there are over half a million registered underground storage tanks in the US alone. Many tanks installed prior to the mid-80s were composed of steel, which can corrode over time allowing for leakage into the surrounding groundwater and soil. 

The Hazardous and Solid Waste Amendments to the Resource Conservation and Recovery Act (RCRA), passed in 1984, required the US Environmental Protection Agency (EPA) to develop regulations for the underground storage of motor fuels. The EPA requires owners and operators of USTs to maintain and clean up sites damaged by petroleum contamination.

SPEX CertiPrep provides standards designed to meet the testing requirements set up by the EPA and many individual state regulations for LUST and LUFT.",,,,"TRUE","[{""component"":""n-Decane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""124-18-5""},{""component"":""n-Dodecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""112-40-3""},{""component"":""n-Eicosane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""112-95-8""},{""component"":""n-Heptadecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""629-78-7""},{""component"":""n-Heptane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""142-82-5""},{""component"":""n-Hexadecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""544-76-3""},{""component"":""n-Hexane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""110-54-3""},{""component"":""n-Nonadecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""629-92-5""},{""component"":""n-Nonane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""111-84-2""},{""component"":""n-Octacosane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""630-02-4""},{""component"":""n-Octadecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""593-45-3""},{""component"":""n-Octane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""111-65-9""},{""component"":""n-Pentacosane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""629-99-2""},{""component"":""n-Pentadecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""629-62-9""},{""component"":""n-Pentatriacontane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""630-07-9""},{""component"":""n-Tetradecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""629-59-4""},{""component"":""n-Tridecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""629-50-5""},{""component"":""n-Undecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Pentane"",""cas"":""1120-21-4""}]","Ambient","36","TX-HC-18","1 mL","1","Ambient","Pentane","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/TX-HC-18.pdf"
"thm-xh-trihalomethanes-voaltiles-mix-(high-level)-for-us-epa-method-502.2-200-g-ml-(200-ppm)-in-methanol-p&t-1ml","Trihalomethanes Voaltiles Mix (High Level) for US EPA Method 502.2, 200 μg/mL (200 ppm) in Methanol-P&T, 1mL","Volatiles

US EPA Method 502.2 is a general analytical method for the monitoring of halogenated, purgeable VOCs in drinking water and raw water sources by GC megabore capillary column techniques and Hall and Photoionization Detectors (PID).",,,,"TRUE","[{""component"":""Bromodichloromethane"",""concentration"":""2,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""75-27-4""},{""component"":""Bromoform"",""concentration"":""2,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""75-25-2""},{""component"":""Chloroform"",""concentration"":""2,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""67-66-3""},{""component"":""Dibromochloromethane"",""concentration"":""2,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""124-48-1""}]","Ambient","36","THM-XH","1 mL","1","Ambient","Methanol-P&T","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/THM-XH.pdf"
"thm-x-trihalomethanes-voaltiles-mix-for-us-epa-method-502.2-200-g-ml-(200-ppm)-in-methanol-p&t-1ml","Trihalomethanes Voaltiles Mix for US EPA Method 502.2, 200 μg/mL (200 ppm) in Methanol-P&T, 1mL","Volatiles

US EPA Method 502.2 is a general analytical method for the monitoring of halogenated, purgeable VOCs in drinking water and raw water sources by GC megabore capillary column techniques and Hall and Photoionization Detectors (PID).",,,,"TRUE","[{""component"":""Bromodichloromethane"",""concentration"":""200 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""75-27-4""},{""component"":""Bromoform"",""concentration"":""200 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""75-25-2""},{""component"":""Chloroform"",""concentration"":""200 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""67-66-3""},{""component"":""Dibromochloromethane"",""concentration"":""200 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""124-48-1""}]","Freezer","12","THM-X","1 mL","1","Freezer","Methanol-P&T","Multiple","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/THM-X.pdf"
